city,city_state,state,population,lat,lon,rank,adj_rank,rank_change,city_pgi,adj_city_pgi,tax_score,investment_score,adj_investment_score,effectiveness_score,rpp,col_weight
Milwaukee,"Milwaukee, WI",WI,577222,43.0389,-87.9065,91,91,0,25.345651289561363,35.77981622220222,39.42379386430839,20.046920258110283,51.349415056032846,16.566239746265428,93.5,0.9251336898395722
Bakersfield,"Bakersfield, CA",CA,413280,35.3733,-119.0187,58,92,-34,44.754095817421494,35.45148967483278,62.287556105057504,50.60171177879158,22.69389335102545,21.373019568415383,112.6,0.7682060390763766
Santa Ana,"Santa Ana, CA",CA,309441,33.7455,-117.8677,71,93,-22,39.493028298432144,35.19453440203917,55.43460126602109,40.416781271897854,27.52129958271893,22.627702357377487,112.6,0.7682060390763766
Stockton,"Stockton, CA",CA,322120,37.9577,-121.2908,79,94,-15,34.72856776954936,31.079075869608726,60.0032378253787,35.32431601845096,24.375840318629063,8.858149464818418,112.6,0.7682060390763766
Baltimore,"Baltimore, MD",MD,585708,39.2904,-76.6122,100,95,5,8.729246062996003,31.00597331049902,11.476908965174907,0.0,66.83018174250904,14.7108292238131,109.7,0.788514129443938
Newark,"Newark, NJ",NJ,311549,40.7357,-74.1724,97,96,1,12.946393425348022,30.497081476907756,25.203398087208804,0.0,52.652064154679195,13.635782188835265,113.5,0.762114537444934
St. Louis,"St. Louis, MO",MO,293310,38.627,-90.1994,99,97,2,12.193871604540055,30.34789415693082,34.340671205924025,0.0,54.4620676571723,2.2409436076961384,88.8,0.9740990990990991
Cleveland,"Cleveland, OH",OH,361607,41.4993,-81.6944,96,98,-2,18.19840724325982,30.04635452134458,43.99243042366599,9.861989751216498,45.40583158547078,0.7408015548969686,90.4,0.956858407079646
Memphis,"Memphis, TN",TN,633104,35.1495,-90.049,92,99,-7,25.163621373064633,30.01345193634489,50.35147860763672,25.139385511557176,39.68887720139794,0.0,91.2,0.9484649122807017
San Bernardino,"San Bernardino, CA",CA,222203,34.1083,-117.2898,88,100,-12,28.790589928232084,28.23026632435842,60.0032378253787,25.139385511557176,23.45841469993619,1.2291464477603782,112.6,0.7682060390763766
